Image,True Label
../../../dataset/3_class_val/bcc/bcc01998.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02001.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02007.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02008.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02011.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02016.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02017.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02020.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02023.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02024.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02029.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02036.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02037.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02039.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02043.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02044.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02045.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02046.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02048.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02053.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02060.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02062.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02064.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02066.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02072.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02075.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02084.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02089.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02092.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02093.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02098.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02101.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02102.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02104.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02107.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02108.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02110.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02113.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02114.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02119.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02121.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02125.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02129.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02132.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02136.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02138.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02143.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02144.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02155.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02157.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02158.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02164.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02165.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02166.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02168.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02180.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02183.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02187.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02191.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02194.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02196.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02197.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02198.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02208.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02210.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02212.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02213.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02219.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02220.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02223.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02224.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02227.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02234.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02241.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02242.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02251.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02255.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02257.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02258.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02264.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02265.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02266.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02268.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02271.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02272.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02273.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02274.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02283.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02290.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02291.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02294.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02303.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02305.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02306.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02307.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02309.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02313.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02316.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02317.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02318.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02319.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02324.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02329.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02331.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02332.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02338.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02350.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02351.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02352.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02354.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02356.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02358.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02360.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02366.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02368.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02369.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02374.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02375.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02377.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02387.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02389.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02392.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02394.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02396.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02398.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02399.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02401.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02404.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02405.jpg,bcc
../../../dataset/3_class_val/bcc/bcc02414.jpg,bcc
